SOORTSCODE;ABUNDANTIE;WAARNEMER1;WAARNEMER2;WAARNEMER3;Datum;MAAND;JAAR;SCHAAL;OPMERKING;X_PROJ;Y_PROJ;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;29/08/2016;8;2016;Foretrex201;;22621,11;198871,77;;;;;;;;;;;;;
gentnuli;d;gompw;eenad;;29/08/2016;8;2016;Foretrex201;;22614,11;198872,93;;;;;;;;;;;;;
gentnuli;d;gompw;eenad;;29/08/2016;8;2016;Foretrex201;;22605,47;198872,87;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;29/08/2016;8;2016;Foretrex201;;22606,15;198868,52;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;29/08/2016;8;2016;Foretrex201;;22575,41;198850,87;;;;;;;;;;;;;
gentnuli;a;gompw;eenad;;29/08/2016;8;2016;Foretrex201;;22564,09;198870,12;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;29/08/2016;8;2016;Foretrex201;;22636,93;198902,78;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;29/08/2016;8;2016;Foretrex201;;22618,69;198886,81;;;;;;;;;;;;;
gentnuli;d;gompw;eenad;;29/08/2016;8;2016;Foretrex201;;22612,96;198875,34;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;29/08/2016;8;2016;Foretrex201;;22607,74;198877,50;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;29/08/2016;8;2016;Foretrex201;;22599,54;198873,38;;;;;;;;;;;;;
gentnuli;b;gompw;eenad;;29/08/2016;8;2016;Foretrex201;;22627,67;198903,19;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;29/08/2016;8;2016;Foretrex201;;22617,88;198893,49;;;;;;;;;;;;;
gentnuli;d;gompw;eenad;;29/08/2016;8;2016;Foretrex201;;22604,33;198880,49;;;;;;;;;;;;;
gentnuli;b;gompw;eenad;;29/08/2016;8;2016;Foretrex201;;22610,18;198892,57;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;29/08/2016;8;2016;Foretrex201;;22549,05;198936,21;;;;;;;;;;;;;
gentnuli;d;gompw;eenad;;29/08/2016;8;2016;Foretrex201;;22543,24;199003,26;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;29/08/2016;8;2016;Foretrex201;;22544,65;198995,69;;;;;;;;;;;;;
gentnuli;d;gompw;eenad;;29/08/2016;8;2016;Foretrex201;;22592,70;198912,39;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;29/08/2016;8;2016;Foretrex201;;22553,85;198993,15;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;29/08/2016;8;2016;Foretrex201;;22549,39;199001,63;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;29/08/2016;8;2016;Foretrex201;;22577,78;198949,23;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;30/08/2016;8;2016;Foretrex201;;22563,75;199001,60;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;30/08/2016;8;2016;Foretrex201;;22565,19;198995,90;;;;;;;;;;;;;
gentnuli;d;gompw;eenad;;30/08/2016;8;2016;Foretrex201;;22567,85;198998,37;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;30/08/2016;8;2016;Foretrex201;;22577,07;198994,91;;;;;;;;;;;;;
gentnuli;d;gompw;eenad;;30/08/2016;8;2016;Foretrex201;;22589,52;198991,23;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;30/08/2016;8;2016;Foretrex201;;22592,17;198992,43;;;;;;;;;;;;;
gentnuli;b;gompw;eenad;;30/08/2016;8;2016;Foretrex201;;22608,46;198980,90;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;30/08/2016;8;2016;Foretrex201;;22613,91;198963,35;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;30/08/2016;8;2016;Foretrex201;;22639,01;198940,20;;;;;;;;;;;;;
