groep;meetnet;task_id;taak;visit_id;start_date;start_time;end_date;end_time;notes;locatie;protocol;bezoek_status;uitgevoerd_door
amfibieën;Boomkikker;;;17;4/05/2016;23:30:00;5/05/2016;0:30:00;Vrij koude nacht (8C), Roepende mannetjes opvallend verspreid over alle poelen.;NR Dautewijers 3;Padden en kikkers - Roepkoren;Conform protocol;Koen Thonissen
amfibieën;Boomkikker;1089;Veldbezoek 1;123;5/05/2016;0:00:00;5/05/2016;0:15:00;Vrij koude nacht met open hemel (8°C). Mannetjes roepen opvallend gespreid over alle poelen;NR Dautewijers 3;Padden en kikkers - Roepkoren;Conform protocol;Koen Thonissen
amfibieën;Boomkikker;1149;Veldbezoek 2;126;28/05/2016;23:00:00;13/06/2016;23:10:00;;NR Dautewijers 3;Padden en kikkers - Roepkoren;Conform protocol;Koen Thonissen
amfibieën;Boomkikker;1552;Schepbezoek 1 (larven);782;18/06/2016;;;;niet elke schepbeurt werd afzonderlijk genoteerd, maximale diepte: 0.6m;NR Dautewijers 3;Padden en kikkers - Larven;Conform protocol;Koen Thonissen
amfibieën;Boomkikker;;;18;4/05/2016;23:30:00;5/05/2016;0:30:00;Vrij koude nacht (8C), Roepende mannetjes opvallend verspreid over alle poelen.;NR Dautewijers 4;Padden en kikkers - Roepkoren;Conform protocol;Koen Thonissen
amfibieën;Boomkikker;1090;Veldbezoek 1;124;5/05/2016;0:15:00;5/05/2016;0:30:00;Vrij koude nacht met open hemel (8°C). Mannetjes roepen opvallend gespreid over alle poelen;NR Dautewijers 4;Padden en kikkers - Roepkoren;Conform protocol;Koen Thonissen
amfibieën;Boomkikker;1150;Veldbezoek 2;127;28/05/2016;23:10:00;28/05/2016;23:20:00;;NR Dautewijers 4;Padden en kikkers - Roepkoren;Conform protocol;Koen Thonissen
amfibieën;Boomkikker;1553;Schepbezoek 1 (larven);783;18/06/2016;;;;niet elke schepbeurt werd afzonderlijk geteld, maximale diepte: 0.7m;NR Dautewijers 4;Padden en kikkers - Larven;Conform protocol;Koen Thonissen
amfibieën;Boomkikker;1098;Veldbezoek 1;331;11/04/2016;;;;;NR Platwijers 1;Padden en kikkers - Roepkoren;Conform protocol;Peter Engelen
amfibieën;Boomkikker;1099;Veldbezoek 1;332;11/04/2016;;;;;NR Platwijers 2;Padden en kikkers - Roepkoren;Conform protocol;Peter Engelen
amfibieën;Boomkikker;1100;Veldbezoek 1;329;26/05/2016;;;;;NR Schotshei;Padden en kikkers - Roepkoren;Conform protocol;Peter Engelen
amfibieën;Boomkikker;1160;Veldbezoek 2;330;6/06/2016;;;;;NR Schotshei;Padden en kikkers - Roepkoren;Conform protocol;Peter Engelen
amfibieën;Boomkikker;1563;Schepbezoek 1 (larven);320;3/07/2016;;;;42 larven op 13 schepbeurten, oppervlakte waterpartij: 300 m², maximale diepte: 2 meter;NR Schotshei;Padden en kikkers - Larven;Conform protocol;Peter Engelen
amfibieën;Boomkikker;1566;Schepbezoek 1 (larven);241;22/06/2016;15:00:00;22/06/2016;16:00:00;Medeteller: Leo Corstjens, pH: 6 (tot 7), oppervlakte waterpartij: 2 are;NR 't Hasselterbroek 1;Padden en kikkers - Larven;Conform protocol;Iwan Lewylle
amfibieën;Boomkikker;1567;Schepbezoek 1 (larven);242;22/06/2016;13:00:00;22/06/2016;14:00:00;pH: 6 (tot 7), oppervlakte waterpartij: 3 are;NR 't Hasselterbroek 2;Padden en kikkers - Larven;Conform protocol;Iwan Lewylle
amfibieën;Boomkikker;1568;Schepbezoek 1 (larven);240;22/06/2016;15:30:00;22/06/2016;17:00:00;medeteller: Leo Corstjens, Aantal scheppen nakijken, pH: 6 (tot 7), oppervlakte waterpartij: 2 are;NR 't Hasselterbroek 3;Padden en kikkers - Larven;Conform protocol;Iwan Lewylle
amfibieën;Boomkikker;1569;Schepbezoek 1 (larven);239;22/06/2016;14:00:00;22/06/2016;15:30:00;Medeteller: Leo Corstjens, aantal scheppen nog eens dubbelchecken, pH: 6 (tot 7), oppervlakte waterpartij: 2 are;NR 't Hasselterbroek 4;Padden en kikkers - Larven;Conform protocol;Iwan Lewylle
amfibieën;Boomkikker;1570;Schepbezoek 1 (larven);243;22/06/2016;16:00:00;22/06/2016;17:00:00;Waterkwaliteit 3 maar visueel minder goede poel dan Hasselterbroek poel 1 tem 4., Aantallen bruine kikker nog even nakijken in wn.be eenmaal upload gebeurd is door iwan., oppervlakte waterpartij: Diameter 40m;NR 't Hasselterbroek 5;Padden en kikkers - Larven;Conform protocol;Iwan Lewylle
amfibieën;Boomkikker;1108;Veldbezoek 1;288;24/05/2016;;;;;NR Vallei van de Itterbeek 1;Padden en kikkers - Roepkoren;Conform protocol;Peter Engelen
amfibieën;Boomkikker;1168;Veldbezoek 2;289;3/06/2016;;;;;NR Vallei van de Itterbeek 1;Padden en kikkers - Roepkoren;Conform protocol;Peter Engelen
amfibieën;Boomkikker;1571;Schepbezoek 1 (larven);290;2/07/2016;;;;totaalaantal over 15 scheppen ingevoerd in 1, oppervlakte waterpartij: 300 m², maximale diepte: 2,5 m;NR Vallei van de Itterbeek 1;Padden en kikkers - Larven;Conform protocol;Peter Engelen
amfibieën;Boomkikker;1109;Veldbezoek 1;296;24/05/2016;;;;;NR Vallei van de Itterbeek 10;Padden en kikkers - Roepkoren;Conform protocol;Peter Engelen
amfibieën;Boomkikker;1169;Veldbezoek 2;297;3/06/2016;;;;;NR Vallei van de Itterbeek 10;Padden en kikkers - Roepkoren;Conform protocol;Peter Engelen
amfibieën;Boomkikker;1572;Schepbezoek 1 (larven);298;2/07/2016;;;;469 larven op 24 schepbeurten, oppervlakte waterpartij: 1000 m², maximale diepte: 2 meter;NR Vallei van de Itterbeek 10;Padden en kikkers - Larven;Conform protocol;Peter Engelen
amfibieën;Boomkikker;1110;Veldbezoek 1;299;24/05/2016;;;;;NR Vallei van de Itterbeek 11;Padden en kikkers - Roepkoren;Conform protocol;Peter Engelen
amfibieën;Boomkikker;1170;Veldbezoek 2;300;3/06/2016;;;;;NR Vallei van de Itterbeek 11;Padden en kikkers - Roepkoren;Conform protocol;Peter Engelen
amfibieën;Boomkikker;1573;Schepbezoek 1 (larven);301;2/07/2016;;;;45 larven op 30 schepbeurten. , Plas pas in 2015 opnieuw uitgegraven., Te groot voor goede bemonstering, oppervlakte waterpartij: 5000 m², maximale diepte: 2 meter;NR Vallei van de Itterbeek 11;Padden en kikkers - Larven;Conform protocol;Peter Engelen
amfibieën;Boomkikker;1111;Veldbezoek 1;302;24/05/2016;;;;;NR Vallei van de Itterbeek 2;Padden en kikkers - Roepkoren;Conform protocol;Peter Engelen
amfibieën;Boomkikker;1171;Veldbezoek 2;303;3/06/2016;;;;;NR Vallei van de Itterbeek 2;Padden en kikkers - Roepkoren;Conform protocol;Peter Engelen
amfibieën;Boomkikker;1574;Schepbezoek 1 (larven);304;2/07/2016;;;;172 larven in 12 schepbeurten, oppervlakte waterpartij: 300 m², maximale diepte: 3 meter;NR Vallei van de Itterbeek 2;Padden en kikkers - Larven;Conform protocol;Peter Engelen
amfibieën;Boomkikker;1112;Veldbezoek 1;305;24/05/2016;;;;;NR Vallei van de Itterbeek 3;Padden en kikkers - Roepkoren;Conform protocol;Peter Engelen
amfibieën;Boomkikker;1172;Veldbezoek 2;306;3/06/2016;;;;;NR Vallei van de Itterbeek 3;Padden en kikkers - Roepkoren;Conform protocol;Peter Engelen
amfibieën;Boomkikker;1575;Schepbezoek 1 (larven);307;2/07/2016;;;;112 larven op 30 schepbeurten., Poel heeft een goede watervegetatie maar is van nature troebel., oppervlakte waterpartij: 500 m², maximale diepte: 3 meter;NR Vallei van de Itterbeek 3;Padden en kikkers - Larven;Conform protocol;Peter Engelen
amfibieën;Boomkikker;1113;Veldbezoek 1;308;24/05/2016;;;;;NR Vallei van de Itterbeek 4;Padden en kikkers - Roepkoren;Conform protocol;Peter Engelen
amfibieën;Boomkikker;1173;Veldbezoek 2;309;3/06/2016;;;;;NR Vallei van de Itterbeek 4;Padden en kikkers - Roepkoren;Conform protocol;Peter Engelen
amfibieën;Boomkikker;1576;Schepbezoek 1 (larven);310;2/07/2016;;;;80 larven op 20 schepbeurten., Oevers beginnen te verwilgen., oppervlakte waterpartij: 600 m², maximale diepte: 2 meter;NR Vallei van de Itterbeek 4;Padden en kikkers - Larven;Conform protocol;Peter Engelen
amfibieën;Boomkikker;1114;Veldbezoek 1;311;24/05/2016;;;;;NR Vallei van de Itterbeek 5;Padden en kikkers - Roepkoren;Conform protocol;Peter Engelen
amfibieën;Boomkikker;1174;Veldbezoek 2;312;3/06/2016;;;;;NR Vallei van de Itterbeek 5;Padden en kikkers - Roepkoren;Conform protocol;Peter Engelen
amfibieën;Boomkikker;1577;Schepbezoek 1 (larven);313;2/07/2016;;;;32 larven op 30 schepbeurten, Waterbiotoop gaat hersteld worden in september 2016., oppervlakte waterpartij: 3000 m², maximale diepte: 2 meter;NR Vallei van de Itterbeek 5;Padden en kikkers - Larven;Conform protocol;Peter Engelen
amfibieën;Boomkikker;1115;Veldbezoek 1;314;24/05/2016;;;;;NR Vallei van de Itterbeek 6;Padden en kikkers - Roepkoren;Conform protocol;Peter Engelen
amfibieën;Boomkikker;1175;Veldbezoek 2;315;3/06/2016;;;;;NR Vallei van de Itterbeek 6;Padden en kikkers - Roepkoren;Conform protocol;Peter Engelen
amfibieën;Boomkikker;1578;Schepbezoek 1 (larven);316;2/07/2016;;;;32 larven op 30 schepbeurten, oppervlakte waterpartij: 400 m², maximale diepte: 2 meter;NR Vallei van de Itterbeek 6;Padden en kikkers - Larven;Conform protocol;Peter Engelen
amfibieën;Boomkikker;1116;Veldbezoek 1;318;24/05/2016;;;;;NR Vallei van de Itterbeek 7;Padden en kikkers - Roepkoren;Conform protocol;Peter Engelen
amfibieën;Boomkikker;1176;Veldbezoek 2;321;3/06/2016;;;;;NR Vallei van de Itterbeek 7;Padden en kikkers - Roepkoren;Conform protocol;Peter Engelen
amfibieën;Boomkikker;1579;Schepbezoek 1 (larven);319;2/07/2016;;;;82 larven op 15 schepbeurten, oppervlakte waterpartij: 200 m², maximale diepte: 3 meter;NR Vallei van de Itterbeek 7;Padden en kikkers - Larven;Conform protocol;Peter Engelen
